appid,positive_ratings,negative_ratings
223410,455,1941
223430,110,2121
223450,166,511
223470,36263,18721
223490,343,4901
223510,739,2181
223710,20990,34971
223730,378,601
223750,5083,15341
223810,1083,1351
223830,2497,3371
224000,269,911
224040,197,531
224260,48190,57471
224300,429,611
224460,4028,4151
224480,6742,5361
224500,2509,6981
224600,9150,28081
224700,23,471
224740,348,4261
224760,10641,9281
224820,1306,561
224860,239,5141
224900,385,2741
224920,798,3021
224940,288,1071
224960,1700,3741
224980,422,641
225000,232,771
225020,349,2621
225080,31689,17081
225160,1789,1511
225260,12816,9051
225280,971,1671
225300,805,1151
225320,468,971
225360,476,5001
225420,1130,8731
225540,37747,140241
225600,3129,15371
225640,1177,4951
225840,12211,11731
226100,517,1901
226120,315,1921
226560,549,3831
226580,1113,3171
226620,1056,1041
226720,1597,10021
226740,827,2471
226780,42,441
226820,58,41
226840,4479,11321
226860,6051,18911
226960,381,1701
227000,1863,491
227060,235,1541
227080,2405,1601
227100,3204,4461
227160,298,11381
227200,919,1131
227220,1480,2091
227300,176769,58251
227380,312,921
227560,321,1661
227580,1573,1871
227600,1329,1511
227760,143,651
227780,1339,1651
227800,120,441
227860,2711,23611
227900,19,141
227920,78,1131
227940,65856,344161
228200,2526,2871
228260,1265,4951
228280,4148,6881
228300,9080,18151
228320,94,971
228360,1162,911
228380,8834,24861
228440,148,651
228760,1065,2591
228960,498,561
229480,785,1801
229520,319,1781
229560,22,161
229580,549,3821
229600,115,1411
229810,284,1361
229870,648,1011
229890,66,131
229970,44,291
230050,5434,7181
230070,1719,3731
230150,228,931
230190,3948,7531
230270,1600,831
230290,5918,3771
230310,114,2071
230410,226541,202681
230650,123,1361
230700,1447,3331
230760,8,141
230820,1700,1791
230840,760,7671
230980,256,1921
231020,63,271
231040,814,2361
231140,771,5841
231160,5699,2421
231200,1506,3101
231310,278,1781
231330,1474,5721
231430,32548,120381
231720,123,2371
231740,2268,4171
232010,3772,9731
232050,1365,6791
232090,60917,83541
232430,11893,36511
232750,1403,5251
232770,2319,5021
232790,5312,10631
232890,4280,27861
232910,2915,5711
232950,333,3381
232970,377,611
233110,57,951
233130,18716,14261
233150,3180,3021
233190,761,1431
233210,63,1691
233230,1131,3921
233270,9282,12571
233290,8658,16471
233310,111,221
233350,413,701
233410,94,111
233450,31687,22861
233470,4437,9061
233510,103,521
233550,1167,2341
233610,3989,2791
233720,11387,24621
233740,2182,2841
233840,1730,5561
233860,9512,11711
233980,5899,4491
234080,3827,9531
234140,36222,38111
234160,459,821
234190,2627,6951
234270,1320,991
234290,244,1361
234330,2341,10511
234350,67,161
234370,29,591
234390,2158,3611
234490,553,3411
234630,8618,27201
234650,8676,11321
234670,8209,8821
234820,184,881
234900,856,1541
234920,327,921
234940,982,3171
235070,139,1061
235210,2127,4011
235250,1271,1691
235320,923,661
235340,1954,13781
235360,673,2131
235380,2714,18901
235400,617,5771
235460,13722,11571
235520,120,341
235540,13905,35601
235600,10016,19821
235620,520,1741
235660,199,381
235720,327,1031
235800,3785,8821
235820,506,991
235900,326,341
235980,371,91
236010,16,141
236090,15064,6251
236110,10766,38021
236130,243,1771
236150,2604,11261
236290,22,51
236370,4556,29461
236390,83852,221661
236430,30008,37991
236450,5988,2911
236470,120,801
236490,18,121
236510,2136,33781
236690,2734,10851
